zip,type,primary_city,state,county,country,irs_estimated_population
26330,STANDARD,Bridgeport,WV,Harrison County,US,14940
26335,STANDARD,Burnsville,WV,Braxton County,US,940
26337,STANDARD,Cairo,WV,Ritchie County,US,920
26338,STANDARD,Camden,WV,Lewis County,US,550
26339,STANDARD,Center Point,WV,Doddridge County,US,142
26342,STANDARD,Coxs Mills,WV,Gilmer County,US,390
26343,STANDARD,Crawford,WV,Upshur County,US,450
26346,STANDARD,Ellenboro,WV,Ritchie County,US,700
26347,STANDARD,Flemington,WV,Taylor County,US,1910
26348,STANDARD,Folsom,WV,Wetzel County,US,220
26349,PO BOX,Galloway,WV,Barbour County,US,130
26351,STANDARD,Glenville,WV,Gilmer County,US,2230
26354,STANDARD,Grafton,WV,Taylor County,US,8290
26361,PO BOX,Gypsy,WV,Harrison County,US,373
26362,STANDARD,Harrisville,WV,Ritchie County,US,2540
26366,PO BOX,Haywood,WV,Harrison County,US,150
26369,PO BOX,Hepzibah,WV,Harrison County,US,527
26372,STANDARD,Horner,WV,Lewis County,US,670
26374,STANDARD,Independence,WV,Preston County,US,1220
26376,STANDARD,Ireland,WV,Braxton County,US,330
26377,STANDARD,Jacksonburg,WV,Wetzel County,US,490
26378,STANDARD,Jane Lew,WV,Lewis County,US,3800
26384,STANDARD,Linn,WV,Gilmer County,US,320
26385,STANDARD,Lost Creek,WV,Harrison County,US,3210
26386,STANDARD,Lumberport,WV,Harrison County,US,2000
26404,STANDARD,Meadowbrook,WV,Harrison County,US,310
26405,STANDARD,Moatsville,WV,Barbour County,US,1020
26408,STANDARD,Mount Clare,WV,Harrison County,US,2640
26410,STANDARD,Newburg,WV,Preston County,US,800
26411,STANDARD,New Milton,WV,Doddridge County,US,500
26412,STANDARD,Orlando,WV,Lewis County,US,380
26415,STANDARD,Pennsboro,WV,Ritchie County,US,2640
26416,STANDARD,Philippi,WV,Barbour County,US,5610
26419,STANDARD,Pine Grove,WV,Wetzel County,US,810
26421,STANDARD,Pullman,WV,Ritchie County,US,250
26422,PO BOX,Reynoldsville,WV,Harrison County,US,377
